"model","dependent","key_variables","coef_summary","t_or_z_stat","p_value","r_squared","adjusted_r_squared","f_stat","n_obs","interpretation"
"Model 1a PRICE Baseline","","","","","","","","","",""
"Model 1b RET Baseline","","","","","","","","","",""
"Model 1c TQ Baseline","","","","","","","","","",""
"Model 2a PRICE Moderasi AID","","","","","","","","","",""
"Model 2b RET Moderasi AID","","","","","","","","","",""
"Model 2c TQ Moderasi AID","","","","","","","","","",""
"Model 3a PRICE Structural Break","","","","","","","","","",""
"Model 3b RET Structural Break","","","","","","","","","",""
"Model 3c TQ Structural Break","","","","","","","","","",""
