"ticker","company_name","listing_date","active_status","idx_ic_sector","has_fs_2019_2025","has_ar_2019_2025","has_price_data","idr_reporting","include_flag","exclude_reason"
"KIOS","Kioson Komersial Indonesia Tbk","2017-10-05","Active","Technology","","","","","0","incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"LCKM","LCK Global Kedaton Tbk","2018-01-16","Active","Telecommunication","","","","","0","non_technology_sector;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"LINK","Link Net Tbk","2014-06-02","Active","Telecommunication","","","","","0","non_technology_sector;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"LMAS","Limas Indonesia Makmur Tbk","2001-12-28","Active","Technology","","","","","0","incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"LUCK","Sentral Mitra Informatika Tbk","2018-11-28","Active","Technology","","","","","0","incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"MCAS","M Cash Integrasi Tbk","2017-11-01","Active","Technology","","","","","0","incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"MENN","Menn Teknologi Indonesia Tbk","2023-04-18","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"MLPT","Multipolar Technology Tbk","2013-07-08","Active","Technology","","","","","0","incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"MORA","Mora Telematika Indonesia Tbk","2022-08-08","Active","Telecommunication","","","","","0","non_technology_sector;listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"MPIX","Mitra Pedagang Indonesia Tbk","2024-02-07","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"MSTI","Mastersystem Infotama Tbk","2023-11-08","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"MTDL","Metrodata Electronics Tbk","1990-04-09","Active","Technology","","","","","0","incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"MTEL","Dayamitra Telekomunikasi Tbk","2021-11-22","Active","Telecommunication","","","","","0","non_technology_sector;listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"NFCX","NFC Indonesia Tbk","2018-07-12","Active","Technology","","","","","0","incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"NINE","Techno9 Indonesia Tbk","2022-12-05","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"OASA","Maharaksa Biru Energi Tbk","2016-07-18","Active","Telecommunication","","","","","0","non_technology_sector;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"PGJO","Tourindo Guide Indonesia Tbk","2020-01-08","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"PTSN","Sat Nusapersada Tbk","2007-11-08","Active","Technology","","","","","0","incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"RUNS","Global Sukses Solusi Tbk","2021-09-08","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"SKYB","Northcliff Citranusa Indonesia Tbk","2010-07-07","Active","Technology","","","","","0","incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"SUPR","Solusi Tunas Pratama Tbk","2011-10-11","Active","Telecommunication","","","","","0","non_technology_sector;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"TBIG","Tower Bersama Infrastructure Tbk","2010-10-26","Active","Telecommunication","","","","","0","non_technology_sector;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"TECH","Indosterling Technomedia Tbk","2020-06-04","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"TLKM","Telkom Indonesia (Persero) Tbk","1995-11-14","Active","Telecommunication","","","","","0","non_technology_sector;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"TOSK","Topindo Solusi Komunika Tbk","2024-02-07","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"TOWR","Sarana Menara Nusantara Tbk","2010-03-08","Active","Telecommunication","","","","","0","non_technology_sector;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"TRON","Teknologi Karya Digital Nusa Tbk","2023-03-08","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"UVCR","Trimegah Karya Pratama Tbk","2021-07-27","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"WGSH","Wira Global Solusi Tbk","2021-12-06","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"WIFI","Solusi Sinergi Digital Tbk","2020-12-30","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"WIRG","WIR ASIA Tbk","2022-04-04","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"ZYRX","Zyrexindo Mandiri Buana Tbk","2021-03-30","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
