"firm_id","ticker","company_name","year","fs_pdf_path","ar_pdf_path","price_csv_path","fs_downloaded","ar_downloaded","price_downloaded","extraction_done","notes"
"MLPT","MLPT","Multipolar Technology Tbk","2020",".\data\raw\MLPT_2020_FS.pdf",".\data\annual_reports\MLPT_2020_AR.pdf",".\data\prices\prices_MLPT.JK.csv","0","0","0","",""
"MLPT","MLPT","Multipolar Technology Tbk","2021",".\data\raw\MLPT_2021_FS.pdf",".\data\annual_reports\MLPT_2021_AR.pdf",".\data\prices\prices_MLPT.JK.csv","0","0","0","",""
"MLPT","MLPT","Multipolar Technology Tbk","2022",".\data\raw\MLPT_2022_FS.pdf",".\data\annual_reports\MLPT_2022_AR.pdf",".\data\prices\prices_MLPT.JK.csv","0","0","0","",""
"MLPT","MLPT","Multipolar Technology Tbk","2023",".\data\raw\MLPT_2023_FS.pdf",".\data\annual_reports\MLPT_2023_AR.pdf",".\data\prices\prices_MLPT.JK.csv","0","0","0","",""
"MLPT","MLPT","Multipolar Technology Tbk","2024",".\data\raw\MLPT_2024_FS.pdf",".\data\annual_reports\MLPT_2024_AR.pdf",".\data\prices\prices_MLPT.JK.csv","0","0","0","",""
"MLPT","MLPT","Multipolar Technology Tbk","2025",".\data\raw\MLPT_2025_FS.pdf",".\data\annual_reports\MLPT_2025_AR.pdf",".\data\prices\prices_MLPT.JK.csv","0","0","0","",""
"ATIC","ATIC","Anabatic Technologies Tbk","2019",".\data\raw\ATIC_2019_FS.pdf",".\data\annual_reports\ATIC_2019_AR.pdf",".\data\prices\prices_ATIC.JK.csv","0","0","0","",""
"ATIC","ATIC","Anabatic Technologies Tbk","2020",".\data\raw\ATIC_2020_FS.pdf",".\data\annual_reports\ATIC_2020_AR.pdf",".\data\prices\prices_ATIC.JK.csv","0","0","0","",""
"ATIC","ATIC","Anabatic Technologies Tbk","2021",".\data\raw\ATIC_2021_FS.pdf",".\data\annual_reports\ATIC_2021_AR.pdf",".\data\prices\prices_ATIC.JK.csv","0","0","0","",""
"ATIC","ATIC","Anabatic Technologies Tbk","2022",".\data\raw\ATIC_2022_FS.pdf",".\data\annual_reports\ATIC_2022_AR.pdf",".\data\prices\prices_ATIC.JK.csv","0","0","0","",""
"ATIC","ATIC","Anabatic Technologies Tbk","2023",".\data\raw\ATIC_2023_FS.pdf",".\data\annual_reports\ATIC_2023_AR.pdf",".\data\prices\prices_ATIC.JK.csv","0","0","0","",""
"ATIC","ATIC","Anabatic Technologies Tbk","2024",".\data\raw\ATIC_2024_FS.pdf",".\data\annual_reports\ATIC_2024_AR.pdf",".\data\prices\prices_ATIC.JK.csv","0","0","0","",""
"ATIC","ATIC","Anabatic Technologies Tbk","2025",".\data\raw\ATIC_2025_FS.pdf",".\data\annual_reports\ATIC_2025_AR.pdf",".\data\prices\prices_ATIC.JK.csv","0","0","0","",""
"KIOS","KIOS","Kioson Komersial Indonesia Tbk","2019",".\data\raw\KIOS_2019_FS.pdf",".\data\annual_reports\KIOS_2019_AR.pdf",".\data\prices\prices_KIOS.JK.csv","0","0","0","",""
"KIOS","KIOS","Kioson Komersial Indonesia Tbk","2020",".\data\raw\KIOS_2020_FS.pdf",".\data\annual_reports\KIOS_2020_AR.pdf",".\data\prices\prices_KIOS.JK.csv","0","0","0","",""
"KIOS","KIOS","Kioson Komersial Indonesia Tbk","2021",".\data\raw\KIOS_2021_FS.pdf",".\data\annual_reports\KIOS_2021_AR.pdf",".\data\prices\prices_KIOS.JK.csv","0","0","0","",""
"KIOS","KIOS","Kioson Komersial Indonesia Tbk","2022",".\data\raw\KIOS_2022_FS.pdf",".\data\annual_reports\KIOS_2022_AR.pdf",".\data\prices\prices_KIOS.JK.csv","0","0","0","",""
"KIOS","KIOS","Kioson Komersial Indonesia Tbk","2023",".\data\raw\KIOS_2023_FS.pdf",".\data\annual_reports\KIOS_2023_AR.pdf",".\data\prices\prices_KIOS.JK.csv","0","0","0","",""
"KIOS","KIOS","Kioson Komersial Indonesia Tbk","2024",".\data\raw\KIOS_2024_FS.pdf",".\data\annual_reports\KIOS_2024_AR.pdf",".\data\prices\prices_KIOS.JK.csv","0","0","0","",""
"KIOS","KIOS","Kioson Komersial Indonesia Tbk","2025",".\data\raw\KIOS_2025_FS.pdf",".\data\annual_reports\KIOS_2025_AR.pdf",".\data\prices\prices_KIOS.JK.csv","0","0","0","",""
"MCAS","MCAS","M Cash Integrasi Tbk","2019",".\data\raw\MCAS_2019_FS.pdf",".\data\annual_reports\MCAS_2019_AR.pdf",".\data\prices\prices_MCAS.JK.csv","0","0","0","",""
"MCAS","MCAS","M Cash Integrasi Tbk","2020",".\data\raw\MCAS_2020_FS.pdf",".\data\annual_reports\MCAS_2020_AR.pdf",".\data\prices\prices_MCAS.JK.csv","0","0","0","",""
"MCAS","MCAS","M Cash Integrasi Tbk","2021",".\data\raw\MCAS_2021_FS.pdf",".\data\annual_reports\MCAS_2021_AR.pdf",".\data\prices\prices_MCAS.JK.csv","0","0","0","",""
"MCAS","MCAS","M Cash Integrasi Tbk","2022",".\data\raw\MCAS_2022_FS.pdf",".\data\annual_reports\MCAS_2022_AR.pdf",".\data\prices\prices_MCAS.JK.csv","0","0","0","",""
"MCAS","MCAS","M Cash Integrasi Tbk","2023",".\data\raw\MCAS_2023_FS.pdf",".\data\annual_reports\MCAS_2023_AR.pdf",".\data\prices\prices_MCAS.JK.csv","0","0","0","",""
"MCAS","MCAS","M Cash Integrasi Tbk","2024",".\data\raw\MCAS_2024_FS.pdf",".\data\annual_reports\MCAS_2024_AR.pdf",".\data\prices\prices_MCAS.JK.csv","0","0","0","",""
