"ticker","year","company_name","expected_price_csv","yahoo_symbol","source_hint"
"KIOS","2022","Kioson Komersial Indonesia Tbk",".\data\prices\prices_KIOS.JK.csv","KIOS.JK","Yahoo Finance / IDX price history"
"KIOS","2023","Kioson Komersial Indonesia Tbk",".\data\prices\prices_KIOS.JK.csv","KIOS.JK","Yahoo Finance / IDX price history"
"KIOS","2024","Kioson Komersial Indonesia Tbk",".\data\prices\prices_KIOS.JK.csv","KIOS.JK","Yahoo Finance / IDX price history"
"KIOS","2025","Kioson Komersial Indonesia Tbk",".\data\prices\prices_KIOS.JK.csv","KIOS.JK","Yahoo Finance / IDX price history"
"MCAS","2019","M Cash Integrasi Tbk",".\data\prices\prices_MCAS.JK.csv","MCAS.JK","Yahoo Finance / IDX price history"
"MCAS","2020","M Cash Integrasi Tbk",".\data\prices\prices_MCAS.JK.csv","MCAS.JK","Yahoo Finance / IDX price history"
"MCAS","2021","M Cash Integrasi Tbk",".\data\prices\prices_MCAS.JK.csv","MCAS.JK","Yahoo Finance / IDX price history"
"MCAS","2022","M Cash Integrasi Tbk",".\data\prices\prices_MCAS.JK.csv","MCAS.JK","Yahoo Finance / IDX price history"
"MCAS","2023","M Cash Integrasi Tbk",".\data\prices\prices_MCAS.JK.csv","MCAS.JK","Yahoo Finance / IDX price history"
"MCAS","2024","M Cash Integrasi Tbk",".\data\prices\prices_MCAS.JK.csv","MCAS.JK","Yahoo Finance / IDX price history"
"MCAS","2025","M Cash Integrasi Tbk",".\data\prices\prices_MCAS.JK.csv","MCAS.JK","Yahoo Finance / IDX price history"
"NFCX","2019","NFC Indonesia Tbk",".\data\prices\prices_NFCX.JK.csv","NFCX.JK","Yahoo Finance / IDX price history"
"NFCX","2020","NFC Indonesia Tbk",".\data\prices\prices_NFCX.JK.csv","NFCX.JK","Yahoo Finance / IDX price history"
"NFCX","2021","NFC Indonesia Tbk",".\data\prices\prices_NFCX.JK.csv","NFCX.JK","Yahoo Finance / IDX price history"
"NFCX","2022","NFC Indonesia Tbk",".\data\prices\prices_NFCX.JK.csv","NFCX.JK","Yahoo Finance / IDX price history"
