"timestamp","total_firm_year_rows","fs_available","ar_available","price_available","fully_complete_rows","plan_done","plan_pending","plan_completion_rate_pct","pending_actions"
"2026-02-27 21:48:10","189","0","0","0","0","178","48","78.76","48"
"2026-02-27 21:50:01","189","0","0","0","0","181","48","79.04","48"
"2026-02-28 15:55:24","189","0","0","182","0","182","48","79.13","48"
"2026-02-28 15:57:18","189","0","0","182","0","188","44","81.03","44"
"2026-02-28 16:02:19","189","0","0","182","0","189","43","81.47","43"
"2026-02-28 16:35:13","182","0","0","182","0","189","42","81.82","42"
"2026-03-01 12:32:04","182","0","0","182","0","189","42","81.82","42"
