"ticker","year","company_name","expected_ar_pdf","source_hint"
"MCAS","2019","M Cash Integrasi Tbk",".\data\annual_reports\MCAS_2019_AR.pdf","IDX / Company website > Annual Report"
"MCAS","2020","M Cash Integrasi Tbk",".\data\annual_reports\MCAS_2020_AR.pdf","IDX / Company website > Annual Report"
"MCAS","2021","M Cash Integrasi Tbk",".\data\annual_reports\MCAS_2021_AR.pdf","IDX / Company website > Annual Report"
"MCAS","2022","M Cash Integrasi Tbk",".\data\annual_reports\MCAS_2022_AR.pdf","IDX / Company website > Annual Report"
"MCAS","2023","M Cash Integrasi Tbk",".\data\annual_reports\MCAS_2023_AR.pdf","IDX / Company website > Annual Report"
"MCAS","2024","M Cash Integrasi Tbk",".\data\annual_reports\MCAS_2024_AR.pdf","IDX / Company website > Annual Report"
"MCAS","2025","M Cash Integrasi Tbk",".\data\annual_reports\MCAS_2025_AR.pdf","IDX / Company website > Annual Report"
"NFCX","2019","NFC Indonesia Tbk",".\data\annual_reports\NFCX_2019_AR.pdf","IDX / Company website > Annual Report"
"NFCX","2020","NFC Indonesia Tbk",".\data\annual_reports\NFCX_2020_AR.pdf","IDX / Company website > Annual Report"
"NFCX","2021","NFC Indonesia Tbk",".\data\annual_reports\NFCX_2021_AR.pdf","IDX / Company website > Annual Report"
"NFCX","2022","NFC Indonesia Tbk",".\data\annual_reports\NFCX_2022_AR.pdf","IDX / Company website > Annual Report"
"NFCX","2023","NFC Indonesia Tbk",".\data\annual_reports\NFCX_2023_AR.pdf","IDX / Company website > Annual Report"
"NFCX","2024","NFC Indonesia Tbk",".\data\annual_reports\NFCX_2024_AR.pdf","IDX / Company website > Annual Report"
"NFCX","2025","NFC Indonesia Tbk",".\data\annual_reports\NFCX_2025_AR.pdf","IDX / Company website > Annual Report"
"DIVA","2019","Distribusi Voucher Nusantara Tbk",".\data\annual_reports\DIVA_2019_AR.pdf","IDX / Company website > Annual Report"
"DIVA","2020","Distribusi Voucher Nusantara Tbk",".\data\annual_reports\DIVA_2020_AR.pdf","IDX / Company website > Annual Report"
"DIVA","2021","Distribusi Voucher Nusantara Tbk",".\data\annual_reports\DIVA_2021_AR.pdf","IDX / Company website > Annual Report"
"DIVA","2022","Distribusi Voucher Nusantara Tbk",".\data\annual_reports\DIVA_2022_AR.pdf","IDX / Company website > Annual Report"
"DIVA","2023","Distribusi Voucher Nusantara Tbk",".\data\annual_reports\DIVA_2023_AR.pdf","IDX / Company website > Annual Report"
"DIVA","2024","Distribusi Voucher Nusantara Tbk",".\data\annual_reports\DIVA_2024_AR.pdf","IDX / Company website > Annual Report"
"DIVA","2025","Distribusi Voucher Nusantara Tbk",".\data\annual_reports\DIVA_2025_AR.pdf","IDX / Company website > Annual Report"
"LUCK","2019","Sentral Mitra Informatika Tbk",".\data\annual_reports\LUCK_2019_AR.pdf","IDX / Company website > Annual Report"
"LUCK","2020","Sentral Mitra Informatika Tbk",".\data\annual_reports\LUCK_2020_AR.pdf","IDX / Company website > Annual Report"
"LUCK","2021","Sentral Mitra Informatika Tbk",".\data\annual_reports\LUCK_2021_AR.pdf","IDX / Company website > Annual Report"
"LUCK","2022","Sentral Mitra Informatika Tbk",".\data\annual_reports\LUCK_2022_AR.pdf","IDX / Company website > Annual Report"
"LUCK","2023","Sentral Mitra Informatika Tbk",".\data\annual_reports\LUCK_2023_AR.pdf","IDX / Company website > Annual Report"
"LUCK","2024","Sentral Mitra Informatika Tbk",".\data\annual_reports\LUCK_2024_AR.pdf","IDX / Company website > Annual Report"
"LUCK","2025","Sentral Mitra Informatika Tbk",".\data\annual_reports\LUCK_2025_AR.pdf","IDX / Company website > Annual Report"
"ISAT","2019","Indosat Tbk",".\data\annual_reports\ISAT_2019_AR.pdf","IDX / Company website > Annual Report"
"ISAT","2020","Indosat Tbk",".\data\annual_reports\ISAT_2020_AR.pdf","IDX / Company website > Annual Report"
"ISAT","2021","Indosat Tbk",".\data\annual_reports\ISAT_2021_AR.pdf","IDX / Company website > Annual Report"
"ISAT","2022","Indosat Tbk",".\data\annual_reports\ISAT_2022_AR.pdf","IDX / Company website > Annual Report"
"ISAT","2023","Indosat Tbk",".\data\annual_reports\ISAT_2023_AR.pdf","IDX / Company website > Annual Report"
"ISAT","2024","Indosat Tbk",".\data\annual_reports\ISAT_2024_AR.pdf","IDX / Company website > Annual Report"
"ISAT","2025","Indosat Tbk",".\data\annual_reports\ISAT_2025_AR.pdf","IDX / Company website > Annual Report"
"TLKM","2019","Telkom Indonesia (Persero) Tbk",".\data\annual_reports\TLKM_2019_AR.pdf","IDX / Company website > Annual Report"
"TLKM","2020","Telkom Indonesia (Persero) Tbk",".\data\annual_reports\TLKM_2020_AR.pdf","IDX / Company website > Annual Report"
"TLKM","2021","Telkom Indonesia (Persero) Tbk",".\data\annual_reports\TLKM_2021_AR.pdf","IDX / Company website > Annual Report"
"TLKM","2022","Telkom Indonesia (Persero) Tbk",".\data\annual_reports\TLKM_2022_AR.pdf","IDX / Company website > Annual Report"
"TLKM","2023","Telkom Indonesia (Persero) Tbk",".\data\annual_reports\TLKM_2023_AR.pdf","IDX / Company website > Annual Report"
"TLKM","2024","Telkom Indonesia (Persero) Tbk",".\data\annual_reports\TLKM_2024_AR.pdf","IDX / Company website > Annual Report"
"TLKM","2025","Telkom Indonesia (Persero) Tbk",".\data\annual_reports\TLKM_2025_AR.pdf","IDX / Company website > Annual Report"
"KBLV","2019","First Media Tbk",".\data\annual_reports\KBLV_2019_AR.pdf","IDX / Company website > Annual Report"
"KBLV","2020","First Media Tbk",".\data\annual_reports\KBLV_2020_AR.pdf","IDX / Company website > Annual Report"
"KBLV","2021","First Media Tbk",".\data\annual_reports\KBLV_2021_AR.pdf","IDX / Company website > Annual Report"
"KBLV","2022","First Media Tbk",".\data\annual_reports\KBLV_2022_AR.pdf","IDX / Company website > Annual Report"
"KBLV","2023","First Media Tbk",".\data\annual_reports\KBLV_2023_AR.pdf","IDX / Company website > Annual Report"
"KBLV","2024","First Media Tbk",".\data\annual_reports\KBLV_2024_AR.pdf","IDX / Company website > Annual Report"
"KBLV","2025","First Media Tbk",".\data\annual_reports\KBLV_2025_AR.pdf","IDX / Company website > Annual Report"
"CENT","2019","Centratama Telekomunikasi Indonesia Tbk",".\data\annual_reports\CENT_2019_AR.pdf","IDX / Company website > Annual Report"
"CENT","2020","Centratama Telekomunikasi Indonesia Tbk",".\data\annual_reports\CENT_2020_AR.pdf","IDX / Company website > Annual Report"
"CENT","2021","Centratama Telekomunikasi Indonesia Tbk",".\data\annual_reports\CENT_2021_AR.pdf","IDX / Company website > Annual Report"
"CENT","2022","Centratama Telekomunikasi Indonesia Tbk",".\data\annual_reports\CENT_2022_AR.pdf","IDX / Company website > Annual Report"
"CENT","2023","Centratama Telekomunikasi Indonesia Tbk",".\data\annual_reports\CENT_2023_AR.pdf","IDX / Company website > Annual Report"
"CENT","2024","Centratama Telekomunikasi Indonesia Tbk",".\data\annual_reports\CENT_2024_AR.pdf","IDX / Company website > Annual Report"
"CENT","2025","Centratama Telekomunikasi Indonesia Tbk",".\data\annual_reports\CENT_2025_AR.pdf","IDX / Company website > Annual Report"
"EXCL","2019","XL Axiata Tbk",".\data\annual_reports\EXCL_2019_AR.pdf","IDX / Company website > Annual Report"
"EXCL","2020","XL Axiata Tbk",".\data\annual_reports\EXCL_2020_AR.pdf","IDX / Company website > Annual Report"
"EXCL","2021","XL Axiata Tbk",".\data\annual_reports\EXCL_2021_AR.pdf","IDX / Company website > Annual Report"
"EXCL","2022","XL Axiata Tbk",".\data\annual_reports\EXCL_2022_AR.pdf","IDX / Company website > Annual Report"
"EXCL","2023","XL Axiata Tbk",".\data\annual_reports\EXCL_2023_AR.pdf","IDX / Company website > Annual Report"
"EXCL","2024","XL Axiata Tbk",".\data\annual_reports\EXCL_2024_AR.pdf","IDX / Company website > Annual Report"
"EXCL","2025","XL Axiata Tbk",".\data\annual_reports\EXCL_2025_AR.pdf","IDX / Company website > Annual Report"
"BTEL","2019","Bakrie Telecom Tbk",".\data\annual_reports\BTEL_2019_AR.pdf","IDX / Company website > Annual Report"
"BTEL","2020","Bakrie Telecom Tbk",".\data\annual_reports\BTEL_2020_AR.pdf","IDX / Company website > Annual Report"
"BTEL","2021","Bakrie Telecom Tbk",".\data\annual_reports\BTEL_2021_AR.pdf","IDX / Company website > Annual Report"
"BTEL","2022","Bakrie Telecom Tbk",".\data\annual_reports\BTEL_2022_AR.pdf","IDX / Company website > Annual Report"
"BTEL","2023","Bakrie Telecom Tbk",".\data\annual_reports\BTEL_2023_AR.pdf","IDX / Company website > Annual Report"
"BTEL","2024","Bakrie Telecom Tbk",".\data\annual_reports\BTEL_2024_AR.pdf","IDX / Company website > Annual Report"
"BTEL","2025","Bakrie Telecom Tbk",".\data\annual_reports\BTEL_2025_AR.pdf","IDX / Company website > Annual Report"
"FREN","2019","Smartfren Telecom Tbk",".\data\annual_reports\FREN_2019_AR.pdf","IDX / Company website > Annual Report"
"FREN","2020","Smartfren Telecom Tbk",".\data\annual_reports\FREN_2020_AR.pdf","IDX / Company website > Annual Report"
"FREN","2021","Smartfren Telecom Tbk",".\data\annual_reports\FREN_2021_AR.pdf","IDX / Company website > Annual Report"
"FREN","2022","Smartfren Telecom Tbk",".\data\annual_reports\FREN_2022_AR.pdf","IDX / Company website > Annual Report"
"FREN","2023","Smartfren Telecom Tbk",".\data\annual_reports\FREN_2023_AR.pdf","IDX / Company website > Annual Report"
"FREN","2024","Smartfren Telecom Tbk",".\data\annual_reports\FREN_2024_AR.pdf","IDX / Company website > Annual Report"
"FREN","2025","Smartfren Telecom Tbk",".\data\annual_reports\FREN_2025_AR.pdf","IDX / Company website > Annual Report"
"TOWR","2019","Sarana Menara Nusantara Tbk",".\data\annual_reports\TOWR_2019_AR.pdf","IDX / Company website > Annual Report"
"TOWR","2020","Sarana Menara Nusantara Tbk",".\data\annual_reports\TOWR_2020_AR.pdf","IDX / Company website > Annual Report"
"TOWR","2021","Sarana Menara Nusantara Tbk",".\data\annual_reports\TOWR_2021_AR.pdf","IDX / Company website > Annual Report"
